셈나다	pv
셈없다	pv
션찮다	pv
시르다	pv
쌍되다	pv
쌔비다	pv
애닲다	pv
애섧다	pv
얼뜨다	pv
우기다	pv
일내다	pv
조지다	pv
족치다	pv
졸르다	pv
죄받다	pv
죄입다	pv
주리다	pv
쥐잡다	pv
쫄리다	pv
책잡다	pv
턱없다	pv
험궂다	pv
헛늙다	pv
헛듣다	pv
헛먹다	pv
헛보다	pv
헛살다	pv
헛잡다	pv
헛짚다	pv
헛찾다	pv
횡하다	pv
후지다	pv
흉잡다	pv
흠나다	pv
흠내다	pv
흠뜯다	pv
안쉽다	pv
감싸다	pv
값없다	pv
건들다	pv
겁업다	pv
견디다	pv
고프다	pv
기리다	pv
까불다	pv
낫설다	pv
노리다	pv
놀라다	pv
놀랍다	pv
놀래다	pv
농하다	pv
다잊다	pv
더없다	pv
동하다	pv
돼먹다	pv
딱하다	pv
땅기다	pv
땡기다	pv
뜸하다	pv
매렵다	pv
묘하다	pv
미루다	pv
미치다	pv
바라다	pv
별나다	pv
비싸다	pv
뽐내다	pv
설레다	pv
성글다	pv
세차다	pv
손쉽다	pv
수줍다	pv
아끼다	pv
안굶다	pv
안궂다	pv
안돕다	pv
안둏다	pv
안믿다	pv
안밉다	pv
안뺏다	pv
안섧다	pv
안앓다	pv
안옭다	pv
안옳다	pv
안웃다	pv
안잃다	pv
안잊다	pv
안좋다	pv
안쩔다	pv
안쪼다	pv
안쫄다	pv
야하다	pv
원하다	pv
일없다	pv
재끼다	pv
저리다	pv
정들다	pv
졸리다	pv
탐나다	pv
탐내다	pv
홀리다	pv
화하다	pv
흔하다	pv
희떱다	pv
힘빼다	pv
가깝다	pv
가꾸다	pv
가누다	pv
가늘다	pv
가렵다	pv
가르다	pv
가리다	pv
가볍다	pv
가쁘다	pv
가없다	pv
간하다	pv
갇히다	pv
갈리다	pv
감추다	pv
감하다	pv
값싸다	pv
강하다	pv
개리다	pv
개이다	pv
개키다	pv
거닐다	pv
거들다	pv
거세다	pv
거하다	pv
건너다	pv
건네다	pv
건지다	pv
건하다	pv
걷잡다	pv
걷히다	pv
걸르다	pv
걸리다	pv
걸우다	pv
검붉다	pv
것집다	pv
겉잡다	pv
겉핥다	pv
게우다	pv
겨누다	pv
겨루다	pv
견주다	pv
결리다	pv
결하다	pv
겸하다	pv
겹치다	pv
계시다	pv
계하다	pv
고렇다	pv
고르다	pv
고치다	pv
고푸다	pv
곡하다	pv
골넣다	pv
곯리다	pv
곱삶다	pv
곱씹다	pv
곱하다	pv
공들다	pv
공치다	pv
관두다	pv
광나다	pv
괴오다	pv
굉이다	pv
구르다	pv
구쁘다	pv
구피다	pv
굴리다	pv
굴하다	pv
굶기다	pv
권하다	pv
귀담다	pv
귀먹다	pv
그라다	pv
그리다	pv
그을다	pv
그츠다	pv
그치다	pv
긁히다	pv
금나다	pv
급하다	pv
기르다	pv
기울다	pv
김매다	pv
김새다	pv
깃들다	pv
까놓다	pv
까맣다	pv
까보다	pv
까지다	pv
깎이다	pv
깔리다	pv
깨물다	pv
깨우다	pv
깨지다	pv
깨치다	pv
꺼내다	pv
꺼멓다	pv
꺼주다	pv
껴안다	pv
껴입다	pv
꼬시다	pv
꼬집다	pv
꼴리다	pv
꽂히다	pv
꽃피다	pv
꾸기다	pv
꾸미다	pv
꾸짖다	pv
꿀리다	pv
꿇리다	pv
꿰뚫다	pv
꿰매다	pv
꿰메다	pv
꿰이다	pv
끄르다	pv
끄집다	pv
끈치다	pv
끊기다	pv
끊이다	pv
끓이다	pv
끔하다	pv
끝맺다	pv
끝없다	pv
끼얹다	pv
끼우다	pv
끼이다	pv
나돌다	pv
나르다	pv
나붙다	pv
나투다	pv
날뛰다	pv
날래다	pv
날르다	pv
날쌉다	pv
날쌔다	pv
날으다	pv
남기다	pv
낫우다	pv
낮추다	pv
낯익다	pv
내가다	pv
내걸다	pv
내닫다	pv
내대다	pv
내두다	pv
내딛다	pv
내리다	pv
내먹다	pv
내몰다	pv
내밀다	pv
내받다	pv
내뱉다	pv
내보다	pv
내뿜다	pv
내쉬다	pv
내쏘다	pv
내오다	pv
내젓다	pv
내쫓다	pv
내키다	pv
냉하다	pv
너르다	pv
널찌다	pv
넓히다	pv
넘치다	pv
노닐다	pv
노랗다	pv
노올다	pv
녹슬다	pv
녹이다	pv
논하다	pv
농익다	pv
높이다	pv
높히다	pv
놓치다	pv
놔두다	pv
뇌이다	pv
누렇다	pv
누르다	pv
누리다	pv
누비다	pv
눈감다	pv
눈뜨다	pv
눈띄다	pv
눈멀다	pv
눌리다	pv
눕히다	pv
눙치다	pv
뉘우다	pv
느끼다	pv
느리다	pv
늘이다	pv
늦되다	pv
늦추다	pv
다니다	pv
다되다	pv
다듬다	pv
다루다	pv
다르다	pv
다물다	pv
다숩다	pv
다습다	pv
다잡다	pv
다지다	pv
다하다	pv
닥치다	pv
달구다	pv
달뜨다	pv
달래다	pv
달리다	pv
달이다	pv
담구다	pv
담그다	pv
답하다	pv
당기다	pv
대보다	pv
대차다	pv
던지다	pv
덜되다	pv
덜하다	pv
덤비다	pv
덥치다	pv
덥히다	pv
덧나다	pv
덧붙다	pv
덧쓰다	pv
덩달다	pv
덮이다	pv
덮치다	pv
덮히다	pv
데우다	pv
데치다	pv
도맡다	pv
돈벌다	pv
돋우다	pv
돋치다	pv
돌리다	pv
돌보다	pv
